function,shifting_vector
f1_sphere,44.152796271771081 -71.864976366868632 73.913120845730674 93.254189602265342 -25.442896583448601 -85.06737011003365 -62.195764177189751 -74.899651659699586 86.689512354834335 -47.18518403050065 46.723174195532323 -49.37866832870035 59.666447302904345 -39.935356885796878 -24.139553275064202 -39.755274273988441 -58.065494902991958 55.527978142782757 87.857774109292478 -66.182490051498121 -84.485981757945126 -24.716708982762185 15.643032435658213 97.33293017937271 57.222429058675829 -86.05720274411506 43.55473192132672 -94.848730033768319 66.418399216032981 -10.601079418101619
f2_schwefel_2_22,-41.678618601188823 87.135738940235001 88.915106778278698 79.022299542948957 2.6236884961489579 3.6195616039465364 -24.210794345042004 35.466043048940776 71.728657819684742 73.654541341094045 8.7535512771673325 -93.550866604965435 -21.817458374001291 75.028557654594948 51.6563041280493 -93.835642601025441 -3.8440768714647362 -62.481660014920351 -45.624233825836313 56.911392601921051 -18.700969525088425 -91.091276434886453 -36.087172320670938 -82.874929927868891 94.943377595246972 -95.851101227864135 72.46938117020099 84.891111301874162 93.566489992855395 -97.833673953387574
f3_zakharov,97.159200025801312 58.649794942638977 -2.2212566990303344 -32.861543900668181 87.653522148566594 -47.31212433404135 7.4339527251961641 69.894596229459438 44.995494751259173 -98.874000281328449 48.870363909534461 72.48640047398348 77.038229801158423 -47.243094831007568 2.9629157800986832 -30.206088368014235 -72.389585131738556 -15.824857320611116 58.647068407896938 -25.108584461211819 -44.493707061365953 -64.143303697283358 -57.193208216319967 36.614430620019846 30.999983835071845 -30.918467397891945 69.257351209980641 -6.7861505602247121 11.771141942422858 -15.768076879825401
f4_rosenbrock,87.031430356930827 -49.747284273904334 -63.756455284606361 -78.328472236448448 23.041586999342471 24.493628000463104 0.55751328311983173 -51.360462278934072 76.405126043650256 10.407155910052495 -59.323335655684687 48.844469813874724 -45.454707206142572 -15.142650312654311 31.914017615090273 -99.134519205301231 -3.9050961965738651 -66.730821922148721 -20.835736619113106 59.376736575529321 -41.65762309285612 -81.740759546088995 74.852903207502294 -90.916652236515574 63.387857400430903 -29.057756485213517 92.763739300285096 -32.870401668124273 2.2094783243391731 -81.486439871980537
f5_powell_sum,14.979370128952368 -38.809359227265027 98.663557497890451 -21.119240615236464 1.183718773610849 -0.98382020896603706 -34.584511269258726 66.71875851769741 -2.9448304313292937 -21.655826452941469 63.816153694162551 -53.764480917521531 69.19902815224043 25.329943462555747 91.613391412390172 2.2034043426340162 -49.480596680783684 -98.796105585216182 -30.316396010433053 73.443170161937275 90.439898739515343 72.575116156729734 1.9946563515395042 71.341614996755965 88.842311664490694 70.013335423051615 -40.501340025593066 -84.431580483364939 38.19235207774588 -81.522874948470843
f6_rastrigin,2.5530692396954038 75.049929144795868 81.694331884888726 26.839930840836359 -76.23047210156389 66.604598460770177 5.0724787018900912 -66.954401320590719 -22.496925900299772 20.333579749211395 48.831310745176239 -44.516876878642563 -56.982676296626302 36.29487249752458 35.695024436284285 61.46168745578521 2.7077505700634532 53.506779203631396 57.237048148431285 -84.450485034440874 99.254417435806687 -60.080586414554759 46.138221078938841 13.692748231509611 -2.9882165030320067 -19.02709290391158 39.785294434282577 -10.330680092411782 -68.840053115260716 61.971713923758443
f7_ackley,41.493479639174751 -12.170043859380783 -92.484417508334943 86.942179261359513 43.717554667357717 53.771639141964016 -25.268622944059786 -99.84727299869347 54.19552587235691 71.524910420361721 31.430850286063702 85.13569121419502 17.245163658931006 -85.484591951650529 -5.2134268625639351 -49.94030178594506 28.512738298745859 94.630078060695411 -79.718106999529212 -21.11425908760252 81.614538436819743 -58.609656000365987 -56.799321946912464 54.472442647361163 95.318385326092596 75.099168657323105 -33.646359767328306 33.584481630438148 96.150881697991622 -31.022895065357019
f8_griewank,1.9225209028612085 -75.070201640667108 73.982883299802694 35.925692953641686 49.993719043495247 -51.658897588881935 56.525460212731133 70.623734588439959 -60.340356557349835 -44.851679875008934 97.825337058192872 -52.8592410652696 21.784154310541595 71.677922142425615 3.8493585951868425 58.063419869732797 -69.873547007462179 5.123784010225549 47.925733954018739 -33.56890572267595 50.822257444191109 -36.066656856380774 -58.020378769940663 -57.595459129762091 30.225546700281626 -15.050356275038695 13.836504577091645 82.257519275258403 -11.568983392097138 -20.109576599396789
f9_weierstrass,-61.455135011679253 -77.450486891377409 -5.3363002516871205 82.339742043968442 -81.823620477867735 -18.266432730269059 39.089758238339243 -91.383979472698115 -1.828462291609398 39.821862978574785 -29.876106705785872 -32.724259440778454 -81.337319301896315 -66.480638506288983 64.445736355635802 -53.828206105680799 85.884984975626537 -62.375554316736292 90.359990984026552 78.823154971290222 32.495831448406562 91.432212733843699 21.872842324157645 -9.7734450269024222 -24.930058512762059 50.471809309508018 -21.453540306079304 56.742955880102471 3.5865526231545033 -6.119077087673702
f10_levy,24.860347067407702 -20.162167445314211 53.30478508061708 31.663878223541474 -17.023413410093553 -45.328928430913187 -90.805913830992097 -33.027455693266347 33.671359948354961 5.3733149376517702 36.596998756991724 -32.768025068482928 91.191465560258621 -39.178626554809682 -20.294504977473096 63.525725323120639 -58.466610208360436 81.663433167256244 -96.498190432535665 17.374727030168245 32.472371433716376 14.78833530727421 30.409112524051352 -33.832715460451695 -9.1971531002755853 -77.558744288615713 -65.334447808279791 -52.22380273749954 14.784944292230932 46.466257820413034
